Number,Meaning,DrawDate,DrawID,PrizeType,PrizeDesc,PrizeDescZh
0010,Indonesian Girl,15/07/2023,900/23,S,SPECIAL PRIZE,特别奖
0010,Indonesian Girl,16/05/1985,010/85,C,CONSOLATION PRIZE,安慰奖
0010,Indonesian Girl,18/02/2009,352/09,S,SPECIAL PRIZE,特别奖
0010,Indonesian Girl,18/08/2009,437/09,S,SPECIAL PRIZE,特别奖
0010,Indonesian Girl,22/08/2026,411/26,C,CONSOLATION PRIZE,安慰奖
0010,Indonesian Girl,25/10/2022,776/22,C,CONSOLATION PRIZE,安慰奖
0010,Indonesian Girl,27/07/2010,606/10,S,SPECIAL PRIZE,特别奖
0011,Pregnant Woman Died,02/04/2022,676/22,S,SPECIAL PRIZE,特别奖
0011,Pregnant Woman Died,02/10/2010,637/10,S,SPECIAL PRIZE,特别奖
0011,Pregnant Woman Died,03/02/2019,137/19,S,SPECIAL PRIZE,特别奖
0011,Pregnant Woman Died,05/10/2002,119/02,C,CONSOLATION PRIZE,安慰奖
0011,Pregnant Woman Died,10/06/2009,404/09,S,SPECIAL PRIZE,特别奖
0011,Pregnant Woman Died,11/08/1988,096/88,C,CONSOLATION PRIZE,安慰奖
0011,Pregnant Woman Died,12/04/1998,044/98,2,2ND PRIZE,二奖
0011,Pregnant Woman Died,12/10/2008,292/08,S,SPECIAL PRIZE,特别奖
0011,Pregnant Woman Died,12/11/1990,136/90,C,CONSOLATION PRIZE,安慰奖
0011,Pregnant Woman Died,12/12/1987,149/87,C,CONSOLATION PRIZE,安慰奖
0011,Pregnant Woman Died,15/05/2016,644/16,C,CONSOLATION PRIZE,安慰奖
0011,Pregnant Woman Died,15/08/2026,408/26,S,SPECIAL PRIZE,特别奖
0011,Pregnant Woman Died,20/03/2019,158/19,C,CONSOLATION PRIZE,安慰奖
0011,Pregnant Woman Died,24/11/1996,141/96,3,3RD PRIZE,三奖
0011,Pregnant Woman Died,25/07/2020,382/20,C,CONSOLATION PRIZE,安慰奖
0011,Pregnant Woman Died,26/09/1999,116/99,S,SPECIAL PRIZE,特别奖
0012,Bribing Health Officer,01/02/2009,344/09,3,3RD PRIZE,三奖
0012,Bribing Health Officer,01/12/2024,128/24,C,CONSOLATION PRIZE,安慰奖
0012,Bribing Health Officer,03/04/2024,020/24,S,SPECIAL PRIZE,特别奖
0012,Bribing Health Officer,05/04/1986,041/86,S,SPECIAL PRIZE,特别奖
0012,Bribing Health Officer,06/02/2002,016/02,1,1ST PRIZE,首奖
0012,Bribing Health Officer,08/03/1987,030/87,C,CONSOLATION PRIZE,安慰奖
0012,Bribing Health Officer,08/10/1990,121/90,1,1ST PRIZE,首奖
0012,Bribing Health Officer,12/05/2004,057/04,S,SPECIAL PRIZE,特别奖
0012,Bribing Health Officer,13/12/1998,149/98,3,3RD PRIZE,三奖
0012,Bribing Health Officer,14/05/2016,643/16,C,CONSOLATION PRIZE,安慰奖
0012,Bribing Health Officer,16/07/1988,085/88,S,SPECIAL PRIZE,特别奖
0012,Bribing Health Officer,16/08/1990,098/90,S,SPECIAL PRIZE,特别奖
0012,Bribing Health Officer,16/10/2002,124/02,C,CONSOLATION PRIZE,安慰奖
0012,Bribing Health Officer,17/11/2010,660/10,S,SPECIAL PRIZE,特别奖
0012,Bribing Health Officer,23/09/2017,888/17,C,CONSOLATION PRIZE,安慰奖
0012,Bribing Health Officer,25/11/1993,141/93,C,CONSOLATION PRIZE,安慰奖
0012,Bribing Health Officer,28/01/1991,012/91,2,2ND PRIZE,二奖
0012,Bribing Health Officer,31/01/2023,826/23,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,01/07/2000,079/00,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,04/05/2014,278/14,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,04/12/2021,619/21,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,05/06/2011,758/11,S,SPECIAL PRIZE,特别奖
0013,Street Basketball,06/11/2004,133/04,1,1ST PRIZE,首奖
0013,Street Basketball,07/11/1998,133/98,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,11/07/1988,083/88,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,11/11/2018,097/18,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,12/06/2011,761/11,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,12/07/1986,083/86,S,SPECIAL PRIZE,特别奖
0013,Street Basketball,13/03/2010,540/10,S,SPECIAL PRIZE,特别奖
0013,Street Basketball,17/03/2012,895/12,S,SPECIAL PRIZE,特别奖
0013,Street Basketball,17/07/2005,086/05,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,18/06/1988,073/88,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,19/11/1987,139/87,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,20/10/2002,126/02,S,SPECIAL PRIZE,特别奖
0013,Street Basketball,24/01/2017,769/17,C,CONSOLATION PRIZE,安慰奖
0013,Street Basketball,25/03/2007,039/07,3,3RD PRIZE,三奖
0013,Street Basketball,25/11/2018,103/18,S,SPECIAL PRIZE,特别奖
0013,Street Basketball,30/10/1996,130/96,C,CONSOLATION PRIZE,安慰奖
0014,Lesbian,07/06/2026,378/26,S,SPECIAL PRIZE,特别奖
0014,Lesbian,09/04/2017,808/17,1,1ST PRIZE,首奖
0014,Lesbian,11/04/2004,044/04,S,SPECIAL PRIZE,特别奖
0014,Lesbian,11/12/2011,848/11,S,SPECIAL PRIZE,特别奖
0014,Lesbian,12/02/2022,653/22,S,SPECIAL PRIZE,特别奖
0014,Lesbian,12/04/1997,044/97,S,SPECIAL PRIZE,特别奖
0014,Lesbian,12/12/1998,148/98,S,SPECIAL PRIZE,特别奖
0014,Lesbian,13/05/2001,057/01,C,CONSOLATION PRIZE,安慰奖
0014,Lesbian,20/03/1996,034/96,C,CONSOLATION PRIZE,安慰奖
0014,Lesbian,22/08/2015,508/15,C,CONSOLATION PRIZE,安慰奖
0014,Lesbian,27/03/2018,983/18,C,CONSOLATION PRIZE,安慰奖
0014,Lesbian,28/08/1999,103/99,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,04/03/1989,027/89,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,07/06/2006,068/06,3,3RD PRIZE,三奖
0015,Woman Being Molested,09/10/1996,121/96,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,11/08/1996,096/96,C,CONSOLATION PRIZE,安慰奖
0015,Woman Being Molested,11/09/2002,109/02,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,12/10/2014,355/14,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,13/01/2010,510/10,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,16/03/2016,613/16,C,CONSOLATION PRIZE,安慰奖
0015,Woman Being Molested,23/03/2014,257/14,3,3RD PRIZE,三奖
0015,Woman Being Molested,23/10/1994,128/94,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,24/12/2003,154/03,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,25/06/2017,844/17,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,25/11/1991,141/91,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,27/06/1991,076/91,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,28/10/2007,139/07,S,SPECIAL PRIZE,特别奖
0015,Woman Being Molested,31/08/2008,274/08,S,SPECIAL PRIZE,特别奖
0016,One Sided Love,01/01/1990,001/90,C,CONSOLATION PRIZE,安慰奖
0016,One Sided Love,02/07/2023,894/23,C,CONSOLATION PRIZE,安慰奖
0016,One Sided Love,04/06/1997,067/97,C,CONSOLATION PRIZE,安慰奖
0016,One Sided Love,06/01/2016,577/16,S,SPECIAL PRIZE,特别奖
0016,One Sided Love,06/05/2012,920/12,C,CONSOLATION PRIZE,安慰奖
0016,One Sided Love,10/02/2008,186/08,C,CONSOLATION PRIZE,安慰奖
0016,One Sided Love,16/06/2010,586/10,3,3RD PRIZE,三奖
0016,One Sided Love,26/11/1994,142/94,S,SPECIAL PRIZE,特别奖
0016,One Sided Love,27/10/1988,129/88,C,CONSOLATION PRIZE,安慰奖
0016,One Sided Love,29/01/2003,013/03,3,3RD PRIZE,三奖
0017,Abscess On Leg,01/02/2011,696/11,1,1ST PRIZE,首奖
0017,Abscess On Leg,02/09/2009,445/09,C,CONSOLATION PRIZE,安慰奖
0017,Abscess On Leg,03/02/1992,015/92,S,SPECIAL PRIZE,特别奖
0017,Abscess On Leg,05/12/1985,097/85,C,CONSOLATION PRIZE,安慰奖
0017,Abscess On Leg,06/02/2019,139/19,C,CONSOLATION PRIZE,安慰奖
0017,Abscess On Leg,06/07/2011,773/11,C,CONSOLATION PRIZE,安慰奖
0017,Abscess On Leg,06/12/1993,146/93,C,CONSOLATION PRIZE,安慰奖
0017,Abscess On Leg,13/03/1989,031/89,1,1ST PRIZE,首奖
0017,Abscess On Leg,17/02/1999,021/99,C,CONSOLATION PRIZE,安慰奖
0017,Abscess On Leg,17/03/2010,542/10,C,CONSOLATION PRIZE,安慰奖
0017,Abscess On Leg,18/05/2005,060/05,1,1ST PRIZE,首奖
0017,Abscess On Leg,18/11/1995,138/95,S,SPECIAL PRIZE,特别奖
0017,Abscess On Leg,20/08/2023,916/23,S,SPECIAL PRIZE,特别奖
0017,Abscess On Leg,21/03/1987,035/87,C,CONSOLATION PRIZE,安慰奖
0017,Abscess On Leg,22/08/1991,100/91,C,CONSOLATION PRIZE,安慰奖
0017,Abscess On Leg,28/02/1998,025/98,S,SPECIAL PRIZE,特别奖
0017,Abscess On Leg,29/06/2003,078/03,S,SPECIAL PRIZE,特别奖
0017,Abscess On Leg,29/06/2013,126/13,1,1ST PRIZE,首奖
0017,Abscess On Leg,30/04/2014,276/14,S,SPECIAL PRIZE,特别奖
0018,Abscess On Buttock,02/11/2022,780/22,S,SPECIAL PRIZE,特别奖
0018,Abscess On Buttock,04/02/2024,991/24,S,SPECIAL PRIZE,特别奖
0018,Abscess On Buttock,07/09/1991,107/91,C,CONSOLATION PRIZE,安慰奖
0018,Abscess On Buttock,07/11/2009,477/09,C,CONSOLATION PRIZE,安慰奖
0018,Abscess On Buttock,08/04/2018,990/18,C,CONSOLATION PRIZE,安慰奖
0018,Abscess On Buttock,12/05/1985,009/85,3,3RD PRIZE,三奖
0018,Abscess On Buttock,13/05/1998,057/98,C,CONSOLATION PRIZE,安慰奖
0018,Abscess On Buttock,14/08/1989,097/89,C,CONSOLATION PRIZE,安慰奖
0018,Abscess On Buttock,20/05/2000,061/00,2,2ND PRIZE,二奖
0018,Abscess On Buttock,20/09/1993,113/93,C,CONSOLATION PRIZE,安慰奖
0018,Abscess On Buttock,20/10/1996,126/96,S,SPECIAL PRIZE,特别奖
0018,Abscess On Buttock,22/01/1990,010/90,S,SPECIAL PRIZE,特别奖
0018,Abscess On Buttock,25/05/2024,042/24,C,CONSOLATION PRIZE,安慰奖
0018,Abscess On Buttock,28/07/2012,960/12,C,CONSOLATION PRIZE,安慰奖
0018,Abscess On Buttock,29/08/2017,876/17,S,SPECIAL PRIZE,特别奖
0018,Abscess On Buttock,29/11/2020,440/20,S,SPECIAL PRIZE,特别奖
0019,Modern Dress,02/01/2002,001/02,C,CONSOLATION PRIZE,安慰奖
0019,Modern Dress,02/05/1991,052/91,C,CONSOLATION PRIZE,安慰奖
0019,Modern Dress,03/07/2018,031/18,C,CONSOLATION PRIZE,安慰奖
0019,Modern Dress,07/09/2024,090/24,S,SPECIAL PRIZE,特别奖
0019,Modern Dress,07/12/1991,146/91,S,SPECIAL PRIZE,特别奖
0019,Modern Dress,09/12/2023,965/23,S,SPECIAL PRIZE,特别奖
0019,Modern Dress,21/04/2002,048/02,S,SPECIAL PRIZE,特别奖
0019,Modern Dress,22/03/2025,179/25,C,CONSOLATION PRIZE,安慰奖
0019,Modern Dress,22/10/2005,127/05,S,SPECIAL PRIZE,特别奖
0019,Modern Dress,23/09/2009,455/09,C,CONSOLATION PRIZE,安慰奖
0019,Modern Dress,24/05/2009,396/09,C,CONSOLATION PRIZE,安慰奖
0019,Modern Dress,26/04/2000,051/00,S,SPECIAL PRIZE,特别奖
0019,Modern Dress,29/08/1994,104/94,C,CONSOLATION PRIZE,安慰奖
0019,Modern Dress,30/07/2016,678/16,S,SPECIAL PRIZE,特别奖
0020,Cow Died,01/08/2007,098/07,C,CONSOLATION PRIZE,安慰奖
0020,Cow Died,03/07/1993,079/93,S,SPECIAL PRIZE,特别奖
0020,Cow Died,04/09/2012,978/12,C,CONSOLATION PRIZE,安慰奖
0020,Cow Died,05/03/1988,028/88,S,SPECIAL PRIZE,特别奖
0020,Cow Died,06/11/1999,133/99,C,CONSOLATION PRIZE,安慰奖
0020,Cow Died,11/02/2007,019/07,S,SPECIAL PRIZE,特别奖
0020,Cow Died,12/01/2003,006/03,S,SPECIAL PRIZE,特别奖
0020,Cow Died,12/03/1994,031/94,S,SPECIAL PRIZE,特别奖
0020,Cow Died,14/03/2007,034/07,2,2ND PRIZE,二奖
0020,Cow Died,15/11/2006,137/06,2,2ND PRIZE,二奖
0020,Cow Died,16/01/2018,946/18,C,CONSOLATION PRIZE,安慰奖
0020,Cow Died,16/03/2022,668/22,S,SPECIAL PRIZE,特别奖
0020,Cow Died,16/10/2013,178/13,2,2ND PRIZE,二奖
0020,Cow Died,18/11/1995,138/95,C,CONSOLATION PRIZE,安慰奖
0020,Cow Died,19/05/1994,060/94,S,SPECIAL PRIZE,特别奖
0020,Cow Died,19/05/1999,060/99,1,1ST PRIZE,首奖
0020,Cow Died,22/06/2008,244/08,S,SPECIAL PRIZE,特别奖
0020,Cow Died,24/11/1996,141/96,C,CONSOLATION PRIZE,安慰奖
0020,Cow Died,27/09/2015,525/15,S,SPECIAL PRIZE,特别奖
0021,Cancer Drugs,02/12/2007,155/07,C,CONSOLATION PRIZE,安慰奖
0021,Cancer Drugs,04/03/2000,028/00,C,CONSOLATION PRIZE,安慰奖
0021,Cancer Drugs,05/10/2010,639/10,S,SPECIAL PRIZE,特别奖
0021,Cancer Drugs,06/01/1994,003/94,S,SPECIAL PRIZE,特别奖
0021,Cancer Drugs,07/05/2000,056/00,S,SPECIAL PRIZE,特别奖
0021,Cancer Drugs,09/07/2005,082/05,C,CONSOLATION PRIZE,安慰奖
0021,Cancer Drugs,10/10/2004,122/04,C,CONSOLATION PRIZE,安慰奖
0021,Cancer Drugs,12/08/2023,912/23,S,SPECIAL PRIZE,特别奖
0021,Cancer Drugs,15/02/1995,020/95,1,1ST PRIZE,首奖
0021,Cancer Drugs,16/05/2004,059/04,S,SPECIAL PRIZE,特别奖
0021,Cancer Drugs,19/01/2003,009/03,S,SPECIAL PRIZE,特别奖
0021,Cancer Drugs,19/06/2010,587/10,S,SPECIAL PRIZE,特别奖
0021,Cancer Drugs,20/04/1986,048/86,C,CONSOLATION PRIZE,安慰奖
0021,Cancer Drugs,21/01/1996,009/96,2,2ND PRIZE,二奖
0021,Cancer Drugs,27/02/2013,067/13,S,SPECIAL PRIZE,特别奖
0021,Cancer Drugs,29/09/2002,117/02,S,SPECIAL PRIZE,特别奖
0022,Hainanese Chicken Rice,03/01/1988,002/88,2,2ND PRIZE,二奖
0022,Hainanese Chicken Rice,05/04/2015,442/15,S,SPECIAL PRIZE,特别奖
0022,Hainanese Chicken Rice,06/01/2015,397/15,S,SPECIAL PRIZE,特别奖
0022,Hainanese Chicken Rice,07/06/1990,068/90,1,1ST PRIZE,首奖
0022,Hainanese Chicken Rice,10/09/2008,278/08,C,CONSOLATION PRIZE,安慰奖
0022,Hainanese Chicken Rice,11/09/1986,109/86,S,SPECIAL PRIZE,特别奖
0022,Hainanese Chicken Rice,17/04/2019,171/19,3,3RD PRIZE,三奖
0022,Hainanese Chicken Rice,17/06/2023,887/23,1,1ST PRIZE,首奖
0022,Hainanese Chicken Rice,17/08/2016,688/16,S,SPECIAL PRIZE,特别奖
0022,Hainanese Chicken Rice,19/11/1990,139/90,S,SPECIAL PRIZE,特别奖
